,treatment,earnings_10yr,grad_rate_6yr,admit_rate_imputed,sat_composite_25_imputed,sat_missing,log_instructional_exp,log_endowment,has_endowment,pct_pell_imputed,pct_white_imputed,pct_black_imputed,pct_latino_imputed,pct_asian_imputed,pct_women_imputed,pct_urm,is_hbcu,is_hsi,is_tcu,is_aanapisi,is_pbi,is_msi
treatment,1.0,-0.0793035435257262,-0.09365403703339398,-0.04418067504495068,-0.003518165511207198,0.098765256009513,-0.04046680802854549,-0.18247224348343044,-0.024567159434566516,0.1483757383268466,-0.173202711521638,-0.042423355294729716,0.22115458970794863,0.15113288385866802,0.06417036826207537,0.10931835194068502,-0.01207268207257373,0.17170340860168887,0.1454319736820458,0.16566016580860804,0.03625304975774129,0.21701219722859783
earnings_10yr,-0.0793035435257262,1.0,0.6253876551247414,-0.29425716711369,0.536342880361913,-0.2340389787312303,0.5211585646421348,0.42757380832373926,0.07227202405832961,-0.6574512548449397,0.2449360165330274,-0.29701164176571004,-0.10059217397983203,0.3974305401725106,-0.2671187381782126,-0.3212505881304121,-0.26172520913023917,-0.06624226164583029,-0.13149010531019087,0.09606886890432043,-0.053659462080937956,-0.23117491217114533
grad_rate_6yr,-0.09365403703339398,0.6253876551247414,1.0,-0.28781376071897996,0.590801094161882,-0.24129345848188105,0.6092186268427219,0.5521361478992435,0.0036748856668412967,-0.6449371499202977,0.29413252043937843,-0.36703183207848994,-0.0796749495212754,0.2800536657418637,-0.020305706717251713,-0.3675738238185237,-0.27068812514680635,-0.14894248777023245,-0.1232108244454213,-0.01628001796386039,-0.10496772543163319,-0.31090455214451446
admit_rate_imputed,-0.04418067504495068,-0.29425716711369,-0.28781376071897996,1.0,-0.3726452517175057,0.09182383607506295,-0.36180980245415706,-0.37930491561573815,-0.06245867950570335,0.20266813222323912,0.13228242535735682,-0.017848875495591172,0.022917726259904816,-0.26141479807746143,0.04732143808643536,-0.00021970576467140904,-0.017973769598748544,0.07679544300935642,0.030712312037052106,-0.04937737024666416,0.05408577695943062,0.05413509157058493
sat_composite_25_imputed,-0.003518165511207198,0.536342880361913,0.590801094161882,-0.3726452517175057,1.0,-0.08863098751863577,0.5610144304112489,0.44583756786145357,0.0050150464814852636,-0.49333676549223865,0.07298153687941238,-0.23086305981653676,-0.011362619346748388,0.3477968772474664,0.02687214626920221,-0.20566669896961542,-0.13607455670884955,-0.08323433407908166,-0.007488163079104459,0.018180103755532934,-0.035863757174524766,-0.13628858613723624
sat_missing,0.098765256009513,-0.2340389787312303,-0.24129345848188105,0.09182383607506295,-0.08863098751863577,1.0,-0.11592612735580739,-0.2607503265477598,-0.056583443577574936,0.27040925437614227,-0.23566651906003697,0.11430081556233736,0.1546818388631959,0.029509141394554433,0.05792563110220983,0.2000505698319028,0.13543696310721184,0.13017281103088865,0.08448696430839003,0.10197355241961142,0.09055218340294377,0.24177369890934117
log_instructional_exp,-0.04046680802854549,0.5211585646421348,0.6092186268427219,-0.36180980245415706,0.5610144304112489,-0.11592612735580739,1.0,0.5806195869243252,0.030335778568054087,-0.5258244222784567,0.11627519610686841,-0.20573897837515356,-0.11638731467567072,0.36208955808782856,0.06743026227117682,-0.25330833040766065,-0.1702078342567158,-0.13478778292529398,0.014374738095922155,-0.00359761701122352,-0.017710706988583097,-0.21206522308599074
log_endowment,-0.18247224348343044,0.42757380832373926,0.5521361478992435,-0.37930491561573815,0.44583756786145357,-0.2607503265477598,0.5806195869243252,1.0,0.27534448940943773,-0.4899576028059718,0.23318131812969717,-0.1368170079192877,-0.318691869192325,0.10510656311816863,-0.04691188441937641,-0.3274578340656111,-0.08777554912981327,-0.2666713874756553,-0.005581393844027684,-0.15633971802832308,-0.10282962212966112,-0.30915593321910223
has_endowment,-0.024567159434566516,0.07227202405832961,0.0036748856668412967,-0.06245867950570335,0.0050150464814852636,-0.056583443577574936,0.030335778568054087,0.27534448940943773,1.0,-0.05125865352414905,-0.04700694081400047,0.029541852721960377,0.028135457669673767,0.012961323448181537,0.06622699959481705,0.04390012018783,0.01350508796265847,0.018112773809864053,0.003968769596817568,0.009995941045324346,0.005557751253134182,0.025801640345895892
pct_pell_imputed,0.1483757383268466,-0.6574512548449397,-0.6449371499202977,0.20266813222323912,-0.49333676549223865,0.27040925437614227,-0.5258244222784567,-0.4899576028059718,-0.05125865352414905,1.0,-0.5643436335303152,0.5498400020873594,0.2804789707739811,-0.23808854277022334,0.14357081260091945,0.6568263682199948,0.44695648211401673,0.26485990466559994,0.10253563831208791,0.08092460729586097,0.13495989680425416,0.5245099424660965
pct_white_imputed,-0.173202711521638,0.2449360165330274,0.29413252043937843,0.13228242535735682,0.07298153687941238,-0.23566651906003697,0.11627519610686841,0.23318131812969717,-0.04700694081400047,-0.5643436335303152,1.0,-0.6045471437494542,-0.4574958018250871,-0.22791491578021553,-0.1877130525543848,-0.8204383774415044,-0.5297400264850194,-0.39448710404231024,-0.14905180198552578,-0.24412542715067054,-0.1812720805364838,-0.7271365865266537
pct_black_imputed,-0.042423355294729716,-0.29701164176571004,-0.36703183207848994,-0.017848875495591172,-0.23086305981653676,0.11430081556233736,-0.20573897837515356,-0.1368170079192877,0.029541852721960377,0.5498400020873594,-0.6045471437494542,1.0,-0.15127410476113293,-0.17674815921977174,0.06426922273110257,0.7587405446726336,0.8319490944092329,-0.05130054233979681,-0.05424806528377794,-0.03452097754388767,0.2320033089038445,0.47884969583550824
pct_latino_imputed,0.22115458970794863,-0.10059217397983203,-0.0796749495212754,0.022917726259904816,-0.011362619346748388,0.1546818388631959,-0.11638731467567072,-0.318691869192325,0.028135457669673767,0.2804789707739811,-0.4574958018250871,-0.15127410476113293,1.0,0.08548910874280431,0.12346373657949754,0.5291188361347972,-0.14467098001896844,0.7502144158627803,-0.039469394840130054,0.15088320935124577,0.03260176343152872,0.48036728934634915
pct_asian_imputed,0.15113288385866802,0.3974305401725106,0.2800536657418637,-0.26141479807746143,0.3477968772474664,0.029509141394554433,0.36208955808782856,0.10510656311816863,0.012961323448181537,-0.23808854277022334,-0.22791491578021553,-0.17674815921977174,0.08548910874280431,1.0,0.06470813485269748,-0.09539000876061975,-0.16026428411153998,0.10496876373465738,-0.05088769970546649,0.5774927176057808,-0.020908662537468935,0.12237277043276097
pct_women_imputed,0.06417036826207537,-0.2671187381782126,-0.020305706717251713,0.04732143808643536,0.02687214626920221,0.05792563110220983,0.06743026227117682,-0.04691188441937641,0.06622699959481705,0.14357081260091945,-0.1877130525543848,0.06426922273110257,0.12346373657949754,0.06470813485269748,1.0,0.13653012049130275,0.04513062442620896,0.09170471809741763,0.055565111619043726,-0.01281289727659302,0.10889742267481717,0.12524544815662259
