Model,R2_Test,RMSE_Test,Afford_Rank
R1a_Full,0.9311294880325608,3373.5623378216474,1.0
R1b_No_Afford,0.9307393071233993,3383.105177674163,
R1c_Interactions,0.9199794897398402,3636.409151682733,
R1d_High_Pell,0.7323655556768673,5131.292261920746,1.0
R1d_Low_Pell,0.9379907484148986,3303.738147765063,1.0
